No,Input,Output,Ven
421,2106.5234682554014,1604.8210117967287,NO
422,2091.9793761532455,2207.4157576498606,NO
423,1847.9783902703032,1273.3499357940111,NO
424,2538.909958172172,2030.5128841012508,NO
425,2090.934441843326,2158.4528104530623,NO
426,2583.0690277133235,1863.3198651640464,NO
427,2123.194603124393,1589.343428290917,NO
428,1778.365702490767,2525.266267597869,NO
429,1838.0670644070472,2449.9084674373116,NO
430,1629.9274892731578,2117.741449852945,NO
431,2522.0407117763807,2252.799194991782,NO
432,2023.8039495313087,1838.5162906993078,NO
433,1568.9228183815649,2446.3410014695537,NO
434,2398.494777461004,1914.767680482552,NO
435,2428.1144695355783,1968.0383242487896,NO
436,2080.36795487726,2713.5174749812895,NO
437,1971.8710696040348,2308.659739631378,NO
438,2023.3032816779175,1990.9945206093141,NO
439,2149.686143900757,1903.4207086425472,NO
440,2555.400350009119,1976.219313384409,NO
441,2533.2551575721573,2356.3735596059487,NO
442,2426.2029626698572,2410.671040203021,NO
443,1719.226851828308,1805.1478389188178,NO
444,1928.0854294996398,2059.5461020208218,NO
445,1691.265957174092,2526.4664867825845,NO
446,2014.901403834512,2107.828289375948,NO
447,2038.7587265388038,1799.6790501810592,NO
448,2610.430680234188,2301.4751409949477,NO
449,2144.726777250385,2278.870768774978,NO
450,2542.954751320324,1907.7075790734261,NO
452,2371.722687943551,2479.859184677592,NO
453,2351.0327386416307,1845.5966524634562,NO
454,2386.0837167337595,2118.0506368049123,NO
455,2063.7919098768707,2122.281486477496,NO
456,2403.458053742746,2163.940319340637,NO
457,2563.5801822600633,1831.3400470746014,NO
458,2207.8027748405248,1674.6093789136953,NO
459,2064.7731009883996,2131.41345719709,NO
460,2793.2468286719,1761.2099366242335,NO
461,2279.6912987592173,3106.0189279012397,NO
462,2430.098410384111,1640.1762760376027,NO
463,2564.319342856783,2140.333366974598,NO
464,2312.5751882258555,2417.95857644913,NO
465,1599.7954628985008,1855.847029023049,NO
466,2484.627517446931,2041.405795152822,NO
467,2488.893423721319,2148.804348266899,NO
468,2901.9972607944746,1601.519036464444,NO
470,1336.2694545219786,2188.854241797326,NO
471,2386.3962702409053,2238.5345419430955,NO
472,2044.279191645196,3981.832018437782,NO
473,2110.474776921493,316.73896884531814,NO
475,2354.0542955619667,2067.1381901512877,NO
476,1306.7797815997478,2830.4095667687648,NO
477,2675.2155969126657,2124.2862479452942,NO
478,1311.1321041015626,2509.271915312627,NO
480,1627.3250838922268,2153.2733643195425,NO
481,1979.5368594005643,2384.292654378438,NO
482,2173.7081701400048,1359.435590644629,NO
483,1959.8882198191845,477.84631564731194,NO
484,2289.4934031929256,2563.468452460774,NO
485,2464.6432379581447,2989.607101561806,NO
487,1539.2436037813225,2204.2045513521766,NO
488,1930.7629733784624,1624.5867471996376,NO
489,1785.3224753806949,2515.898278150105,NO
490,1852.3236673551037,1930.7283069702542,NO
491,1944.6865685016867,1338.0071667810103,NO
492,1753.657491633714,2063.2797051086573,NO
493,2218.891854710121,2076.846466399838,NO
494,1630.921889968895,1377.295824660776,NO
495,1994.3453731560705,1620.929517825576,NO
496,2359.198216418276,1614.3192693967862,NO
497,1755.6042256247943,1886.6926719875846,NO
498,2087.537708873268,3309.973858559315,NO
499,2409.078831437216,2009.4612666771816,NO
500,2828.211882345712,2377.1647870903153,NO
501,2112.6887662936333,2270.8145637707717,NO
502,2203.5871684610293,199.20348362170876,NO
503,2132.1081670107023,2425.759917095255,NO
504,2244.786816789958,2242.6470385250273,NO
505,1673.664607116752,1904.0149444294202,NO
